task_name,radius,MASE_full,inference_time_s_median_full,peak_alloc_mb_median_full,peak_reserved_mb_median_full,MASE_sparse,inference_time_s_median_sparse,peak_alloc_mb_median_sparse,peak_reserved_mb_median_sparse,delta_metric,speedup,delta_peak_alloc_mb,delta_peak_reserved_mb
ETTh,8,2.59605987416031,0.1500554084777832,731.43701171875,850.0,2.5964113264387865,0.14928436279296875,960.0810546875,1076.0,0.0003514522784766605,1.0051649460826901,228.64404296875,226.0
ETTm,8,2.364943023754417,0.1723494529724121,731.43701171875,850.0,2.3645500504768946,0.16875457763671875,960.0810546875,1076.0,-0.0003929732775223016,1.0213023870880238,228.64404296875,226.0
dominick,8,2.750351174789211,51.78958439826965,678.04638671875,726.0,2.750608229118859,53.78852844238281,906.83056640625,952.0,0.00025705432964828745,0.9628369821224169,228.7841796875,226.0
ercot,8,6.231536014153341,0.13844513893127441,613.2578125,692.0,6.2320501847163605,0.13973188400268555,842.79052734375,930.0,0.0005141705630196114,0.9907913281167353,229.53271484375,238.0
exchange_rate,8,10.532351268995672,0.09632539749145508,607.12451171875,656.0,10.512761679407678,0.09951472282409668,836.65869140625,876.0,-0.019589589587994283,0.9679512212652284,229.5341796875,220.0
m4_quarterly,8,2.360896672075202,9.089157104492188,508.32080078125,534.0,2.3607293631300608,9.535582780838013,738.71044921875,772.0,-0.0001673089451412757,0.9531831785632516,230.3896484375,238.0
m4_yearly,8,8.356756018865507,8.564846277236938,508.31787109375,536.0,8.355947072891865,8.965219736099243,738.70751953125,772.0,-0.0008089459736417837,0.9553414784413855,230.3896484375,236.0
m5,8,1.0973088274164127,18.403263807296753,593.10546875,652.0,1.0974179437317217,19.437649488449097,822.3642578125,890.0,0.00010911631530907684,0.9467844256700363,229.2587890625,238.0
monash_australian_electricity,8,1.7400412713174045,0.1206965446472168,559.13427734375,584.0,1.739490717466588,0.1273174285888672,788.8369140625,820.0,-0.000550553850816593,0.9479970337523034,229.70263671875,236.0
monash_car_parts,8,1.1565122520654152,1.0531413555145264,535.86767578125,568.0,1.1567427591806418,1.1106717586517334,765.41162109375,788.0,0.00023050711522665246,0.9482021554171465,229.5439453125,220.0
monash_cif_2016,8,1.5448584090075006,0.08958101272583008,474.998046875,496.0,1.5442067325515376,0.09209752082824707,705.1552734375,732.0,-0.0006516764559629795,0.9726756151546139,230.1572265625,236.0
monash_covid_deaths,8,152.19011917252217,0.20659708976745605,678.4501953125,726.0,152.1709875985186,0.21683168411254883,907.234375,952.0,-0.019131574003580454,0.952799359618586,228.7841796875,226.0
monash_fred_md,8,15.240111933068956,0.12954378128051758,669.8935546875,746.0,15.23755748929312,0.13717126846313477,899.4228515625,964.0,-0.00255444377583558,0.9443944255376839,229.529296875,218.0
monash_hospital,8,1.005553101920136,0.32128334045410156,564.20556640625,594.0,1.0054746681722335,0.3279907703399658,794.12255859375,832.0,-7.843374790250657e-05,0.9795499431922675,229.9169921875,238.0
monash_m1_monthly,8,1.653162569322656,0.28911375999450684,538.0234375,566.0,1.652991766027864,0.3061330318450928,766.1923828125,788.0,-0.00017080329479202128,0.9444056338905699,228.1689453125,222.0
monash_m1_quarterly,8,2.4152895817705238,0.11858367919921875,495.88037109375,516.0,2.4152039891333836,0.1247715950012207,725.21533203125,752.0,-8.559263714014165e-05,0.9504060535417423,229.3349609375,236.0
monash_m1_yearly,8,7.823621692340843,0.12407588958740234,491.2470703125,514.0,7.8236095751498365,0.1172182559967041,721.08203125,732.0,-1.211719100613351e-05,1.0585031190951268,229.8349609375,218.0
monash_m3_monthly,8,1.5246537067337476,0.5988705158233643,550.10009765625,566.0,1.524623215846213,0.6200478076934814,779.51806640625,806.0,-3.04908875345955e-05,0.9658457112381468,229.41796875,240.0
monash_m3_quarterly,8,2.277312775941073,0.327864408493042,508.32080078125,528.0,2.2772453054263484,0.3286471366882324,738.71044921875,766.0,-6.747051472455468e-05,0.9976183325280787,230.3896484375,238.0
monash_m3_yearly,8,6.658090041408068,0.3021714687347412,508.31884765625,532.0,6.6574018997499556,0.3030250072479248,738.70849609375,768.0,-0.0006881416581121513,0.9971832736811544,230.3896484375,236.0
monash_nn5_weekly,8,1.2058974161731506,0.10514235496520996,508.14404296875,528.0,1.2049922717955546,0.10224103927612305,737.0029296875,744.0,-0.0009051443775960344,1.0283772124151762,228.85888671875,216.0
monash_tourism_monthly,8,3.368125138373573,0.19821739196777344,576.64306640625,598.0,3.3680888865985983,0.21564364433288574,806.09033203125,836.0,-3.6251774974793705e-05,0.9191895851184388,229.447265625,238.0
monash_tourism_quarterly,8,3.77069334091202,0.20923113822937012,522.7294921875,540.0,3.7698040170099545,0.2159252166748047,751.7744140625,770.0,-0.0008893239020655308,0.9689981626577862,229.044921875,230.0
monash_tourism_yearly,8,4.027677272176361,0.26255202293395996,508.31201171875,528.0,4.027514700229344,0.27467846870422363,738.70166015625,766.0,-0.00016257194701729816,0.9558522157653299,230.3896484375,238.0
monash_traffic,8,1.8785260285784005,11.485063552856445,7511.93701171875,8840.0,1.8787781587410388,11.385810852050781,7740.98291015625,9072.0,0.0002521301626383643,1.008717227266057,229.0458984375,232.0
monash_weather,8,1.9213171677915795,8.659080743789673,1632.8681640625,1826.0,1.92198840540088,8.770523071289062,1862.9375,2064.0,0.0006712376093005457,0.9872935369312004,230.0693359375,238.0
nn5,8,1.0434529387435418,0.1442863941192627,696.5146484375,824.0,1.043498446681292,0.15189886093139648,926.04150390625,1060.0,4.550793775015549e-05,0.9498846353063051,229.52685546875,236.0
